Source,Target,Type
1.53906E+18,1.29297E+18,Directed
1.53906E+18,1898197320,Directed
1.53906E+18,1.43036E+18,Directed
1.53906E+18,1.44007E+18,Directed
1.53906E+18,9.60641E+17,Directed
1.53906E+18,9.59641E+17,Directed
1.53906E+18,1.08996E+18,Directed
1.08996E+18,1.44005E+18,Directed
1.08996E+18,1.29297E+18,Directed
1.08996E+18,1898197320,Directed
1.08996E+18,1.43036E+18,Directed
1.08996E+18,1.44007E+18,Directed
1.08996E+18,9.60641E+17,Directed
1.08996E+18,9.59641E+17,Directed
1.44424E+18,7.47525E+17,Directed
1.44424E+18,7.47525E+17,Directed
463827776,9.73912E+17,Directed
463827776,9.73912E+17,Directed
463827776,543532700,Directed
463827776,9.73912E+17,Directed
7.24328E+17,1.32679E+18,Directed
7.24328E+17,1.29881E+18,Directed
7.24328E+17,1.32679E+18,Directed
1.44424E+18,7.47525E+17,Directed
430451204,1576009134,Directed
430451204,1576009134,Directed
1.44424E+18,7.76753E+17,Directed
1.44424E+18,4891537774,Directed
1.44424E+18,7.76753E+17,Directed
7.24328E+17,1.32679E+18,Directed
1.1747E+18,1.3541E+18,Directed
1.1747E+18,1.3541E+18,Directed
430451204,1576009134,Directed
2605362665,1.52559E+18,Directed
2605362665,1.52559E+18,Directed
1.25592E+18,9.73912E+17,Directed
1.25592E+18,9.73912E+17,Directed
1.44361E+18,9.73912E+17,Directed
1.44361E+18,9.73912E+17,Directed
1.12763E+18,1.13778E+18,Directed
1.12763E+18,1.13778E+18,Directed
8.21007E+17,2375128279,Directed
8.21007E+17,1.42957E+18,Directed
8.21007E+17,1.37992E+18,Directed
8.21007E+17,2375128279,Directed
2375128279,1.37992E+18,Directed
1.44424E+18,1.44364E+18,Directed
1.44424E+18,7.76753E+17,Directed
3482268628,1.52559E+18,Directed
3482268628,1.52559E+18,Directed
2805265153,7.76753E+17,Directed
2805265153,2783798916,Directed
2805265153,7.76753E+17,Directed
1.10111E+18,8.31624E+17,Directed
1.10111E+18,1.58787E+18,Directed
1.10111E+18,8.31624E+17,Directed
8.31624E+17,1.58787E+18,Directed
300106140,9.73912E+17,Directed
300106140,9.73912E+17,Directed
3748989437,9.73912E+17,Directed
3748989437,9.73912E+17,Directed
1.44361E+18,1.09497E+18,Directed
1.44361E+18,9.73912E+17,Directed
1.10111E+18,8.93077E+17,Directed
1.10111E+18,8.31624E+17,Directed
2605362665,330036521,Directed
2605362665,1.52559E+18,Directed
1.54479E+18,1.56427E+18,Directed
1.54479E+18,1.56427E+18,Directed
1.39853E+18,9.73912E+17,Directed
1.39853E+18,9.73912E+17,Directed
3482268628,1.23882E+18,Directed
3482268628,1.52559E+18,Directed
3748989437,3786872115,Directed
3748989437,9.73912E+17,Directed
3307372415,7.76753E+17,Directed
3307372415,2783798916,Directed
3307372415,7.76753E+17,Directed
300106140,761949787,Directed
300106140,9.73912E+17,Directed
3256055544,1.57595E+18,Directed
3256055544,1.57595E+18,Directed
8.75607E+17,1.13778E+18,Directed
8.75607E+17,1.13778E+18,Directed
7.79179E+17,7.47525E+17,Directed
7.79179E+17,7.47525E+17,Directed
1.21392E+18,145129398,Directed
1.21392E+18,145129398,Directed
1.39853E+18,1.03924E+18,Directed
1.39853E+18,9.73912E+17,Directed
1.10111E+18,4891537774,Directed
8.31624E+17,4891537774,Directed
1.25592E+18,1027004232,Directed
1.25592E+18,9.73912E+17,Directed
7.46808E+17,1576009134,Directed
7.46808E+17,1576009134,Directed
1.04753E+18,1.57115E+18,Directed
1.04753E+18,9.98918E+17,Directed
1.04753E+18,1.57115E+18,Directed
1.04753E+18,9.62323E+17,Directed
1.04753E+18,1.57115E+18,Directed
8.1001E+17,1.27686E+18,Directed
8.1001E+17,1.58313E+18,Directed
8.1001E+17,1.27686E+18,Directed
1.27686E+18,1.58313E+18,Directed
7.46808E+17,1576009134,Directed
8.1001E+17,1.23165E+18,Directed
8.1001E+17,1.27686E+18,Directed
1.52104E+18,1.13778E+18,Directed
1.52104E+18,1.13778E+18,Directed
1.20302E+18,9.73912E+17,Directed
1.20302E+18,9.73912E+17,Directed
8.75878E+17,1337424932,Directed
8.75878E+17,1337424932,Directed
8.66319E+17,1.52559E+18,Directed
8.66319E+17,1.52559E+18,Directed
1.03586E+18,1.17145E+18,Directed
1.03586E+18,1.17145E+18,Directed
1.03586E+18,1.06813E+18,Directed
1.03586E+18,1.17145E+18,Directed
2172300974,2713864874,Directed
2172300974,2713864874,Directed
8.66319E+17,1.25543E+18,Directed
8.66319E+17,1.52559E+18,Directed
1.20302E+18,1.3168E+18,Directed
1.20302E+18,9.73912E+17,Directed
1.25258E+18,7.76753E+17,Directed
1.25258E+18,2783798916,Directed
1.25258E+18,7.76753E+17,Directed
2203298692,9.73912E+17,Directed
2203298692,9.73912E+17,Directed
8.75878E+17,9.73912E+17,Directed
8.75878E+17,9.73912E+17,Directed
2203298692,353780675,Directed
2203298692,9.73912E+17,Directed
8.75878E+17,3376916194,Directed
8.75878E+17,9.73912E+17,Directed
2172300974,2713864874,Directed
1.03022E+18,2925983357,Directed
1.03022E+18,2925983357,Directed
2925983357,1.03022E+18,Directed
1.25258E+18,1.44971E+18,Directed
1.25258E+18,1.44971E+18,Directed
1.28866E+18,7.47525E+17,Directed
1.28866E+18,7.47525E+17,Directed
8.86559E+17,1337424932,Directed
8.86559E+17,1337424932,Directed
2172300974,7.47525E+17,Directed
2172300974,7.47525E+17,Directed
1.43989E+18,9.73912E+17,Directed
1.43989E+18,9.73912E+17,Directed
1.4819E+18,9.73912E+17,Directed
1.4819E+18,9.73912E+17,Directed
1.43989E+18,7.70568E+17,Directed
1.43989E+18,9.73912E+17,Directed
2273627263,1.27187E+18,Directed
2273627263,1.27187E+18,Directed
1367967512,1.27187E+18,Directed
1367967512,1.27187E+18,Directed
1367967512,1.27187E+18,Directed
9.82074E+17,9.73912E+17,Directed
9.82074E+17,9.73912E+17,Directed
1367967512,7.47525E+17,Directed
1367967512,7.47525E+17,Directed
1.4819E+18,101726466,Directed
1.4819E+18,9.73912E+17,Directed
1.36084E+18,9.73912E+17,Directed
1.36084E+18,9.73912E+17,Directed
1.36084E+18,1.51986E+18,Directed
1.36084E+18,9.73912E+17,Directed
2172300974,7.47525E+17,Directed
1.55616E+18,1.58942E+18,Directed
1.55616E+18,1.27488E+18,Directed
1.55616E+18,1.58942E+18,Directed
1.58942E+18,1.27488E+18,Directed
9.82074E+17,9.10223E+17,Directed
9.82074E+17,9.73912E+17,Directed
3315460635,7.76753E+17,Directed
3315460635,4926801628,Directed
3315460635,7.76753E+17,Directed
7.76753E+17,4926801628,Directed
1.4819E+18,1337424932,Directed
1.4819E+18,1337424932,Directed
3434164792,1337424932,Directed
3434164792,1337424932,Directed
1.44364E+18,7.76753E+17,Directed
1.44364E+18,4891537774,Directed
1.44364E+18,7.76753E+17,Directed
1367967512,7.47525E+17,Directed
1.19765E+18,1.48885E+18,Directed
1.44364E+18,8.65279E+17,Directed
1.44364E+18,7.76753E+17,Directed
1367967512,2713864874,Directed
1367967512,2713864874,Directed
2895139577,7.76753E+17,Directed
2895139577,4926801628,Directed
2895139577,7.76753E+17,Directed
8.59821E+17,778587829,Directed
1.44364E+18,8.31624E+17,Directed
1.44364E+18,8.31624E+17,Directed
3566021235,9.73912E+17,Directed
3566021235,9.73912E+17,Directed
1.16487E+18,9.73912E+17,Directed
1.16487E+18,9.73912E+17,Directed
2993211740,1.4642E+18,Directed
2993211740,1.4642E+18,Directed
1367967512,2713864874,Directed
2952185361,8.3145E+17,Directed
2952185361,8.3145E+17,Directed
1.41849E+18,1337424932,Directed
1.41849E+18,1337424932,Directed
1.1193E+18,1.36615E+18,Directed
1.1193E+18,1.36615E+18,Directed
3566021235,1.12444E+18,Directed
3566021235,9.73912E+17,Directed
1.16487E+18,1.22617E+18,Directed
1.16487E+18,9.73912E+17,Directed
2339784566,7.76753E+17,Directed
2339784566,2674780621,Directed
2339784566,7.76753E+17,Directed
1.45064E+18,1.50503E+18,Directed
1.45064E+18,1.18701E+18,Directed
1.45064E+18,1.2858E+18,Directed
1.45064E+18,2936766057,Directed
1.4084E+18,2784279217,Directed
1.4084E+18,2784279217,Directed
7.31606E+17,2713864874,Directed
7.31606E+17,2713864874,Directed
2339784566,7.76753E+17,Directed
1.25818E+18,1.52559E+18,Directed
1.25818E+18,1.52559E+18,Directed
1367967512,7.76753E+17,Directed
1367967512,2783798916,Directed
1367967512,7.76753E+17,Directed
1.24429E+18,2282608831,Directed
1.24429E+18,9.73912E+17,Directed
1.45064E+18,1.36692E+18,Directed
1.25818E+18,8.36594E+17,Directed
1.25818E+18,1.52559E+18,Directed
1419142489,7.76753E+17,Directed
1419142489,2674780621,Directed
1419142489,7.76753E+17,Directed
1419142489,7.76753E+17,Directed
1.55012E+18,866632298,Directed
1.55012E+18,866632298,Directed
1.25818E+18,1.27722E+18,Directed
1.25818E+18,1.27722E+18,Directed
1.54949E+18,9.73912E+17,Directed
1.54949E+18,9.73912E+17,Directed
1.03994E+18,8.91872E+17,Directed
1.03994E+18,10228272,Directed
1.03994E+18,8.91872E+17,Directed
8.91872E+17,10228272,Directed
568849112,1576009134,Directed
568849112,1576009134,Directed
1.54949E+18,1.30775E+18,Directed
1.54949E+18,9.73912E+17,Directed
283350607,7.48218E+17,Directed
283350607,19776209,Directed
283350607,1.32874E+18,Directed
283350607,7.48218E+17,Directed
283350607,7.48218E+17,Directed
1.04835E+18,2784279217,Directed
1.04835E+18,2784279217,Directed
1.33067E+18,9.73912E+17,Directed
1.33067E+18,9.73912E+17,Directed
1.53659E+18,1.27187E+18,Directed
1.53659E+18,1.27187E+18,Directed
1.22664E+18,9.73912E+17,Directed
1.22664E+18,9.73912E+17,Directed
1.16058E+18,1576009134,Directed
1.16058E+18,1576009134,Directed
1.35515E+18,3331414936,Directed
1.35515E+18,3331414936,Directed
1.22664E+18,3124170746,Directed
1.22664E+18,9.73912E+17,Directed
1.53659E+18,1.27187E+18,Directed
9.48591E+17,9.73912E+17,Directed
9.48591E+17,9.73912E+17,Directed
2694318070,1.27187E+18,Directed
2694318070,1.27187E+18,Directed
1.33067E+18,1.57378E+18,Directed
1.33067E+18,9.73912E+17,Directed
420599765,9.73912E+17,Directed
420599765,9.73912E+17,Directed
368401103,9.89252E+17,Directed
368401103,1.29621E+18,Directed
368401103,9.89252E+17,Directed
69245853,3814210037,Directed
69245853,3814210037,Directed
368401103,25991253,Directed
368401103,25991253,Directed
25991253,9.89252E+17,Directed
25991253,1.29621E+18,Directed
1.57771E+18,3184185136,Directed
1.57771E+18,3184185136,Directed
1.57771E+18,3184185136,Directed
1.57771E+18,9.73912E+17,Directed
1.57771E+18,65798580,Directed
1.57771E+18,9.73912E+17,Directed
1.57771E+18,9.73912E+17,Directed
1367967512,1.42776E+18,Directed
1367967512,1.42776E+18,Directed
1.32663E+18,1337424932,Directed
1.32663E+18,1337424932,Directed
420599765,1.30044E+18,Directed
420599765,9.73912E+17,Directed
368401103,9.74317E+17,Directed
368401103,9.74317E+17,Directed
1.20672E+18,7.76753E+17,Directed
1.20672E+18,2783798916,Directed
1.20672E+18,7.76753E+17,Directed
1.18011E+18,1.36615E+18,Directed
1.18011E+18,1.36615E+18,Directed
1367967512,1.42776E+18,Directed
600600834,9.73912E+17,Directed
600600834,9.73912E+17,Directed
1.47149E+18,7.48218E+17,Directed
1.47149E+18,1496904794,Directed
1.47149E+18,1.54577E+18,Directed
1.47149E+18,7.48218E+17,Directed
7.48218E+17,1496904794,Directed
1.14921E+18,7.76753E+17,Directed
1.14921E+18,1.5619E+18,Directed
1.14921E+18,7.76753E+17,Directed
7.76753E+17,1.5619E+18,Directed
1.32139E+18,7.76753E+17,Directed
1.32139E+18,1.5619E+18,Directed
1.32139E+18,7.76753E+17,Directed
1.4001E+18,1.27722E+18,Directed
1.4001E+18,1.27722E+18,Directed
1.4001E+18,1.27722E+18,Directed
8.56095E+17,7.76753E+17,Directed
8.56095E+17,1.5619E+18,Directed
8.56095E+17,7.76753E+17,Directed
1.39606E+18,8.59821E+17,Directed
1.39606E+18,1.38087E+18,Directed
1.39606E+18,1.52138E+18,Directed
1.39606E+18,1636462382,Directed
1.39606E+18,8.59821E+17,Directed
1.32139E+18,7.76753E+17,Directed
3580903516,869090414,Directed
3580903516,1.36905E+18,Directed
3580903516,869090414,Directed
869090414,1.36905E+18,Directed
1.24288E+18,1469811883,Directed
1.24288E+18,1.5619E+18,Directed
1.24288E+18,1469811883,Directed
1469811883,1.5619E+18,Directed
8.56095E+17,7.76753E+17,Directed
1.39606E+18,7.76753E+17,Directed
1.39606E+18,1.5619E+18,Directed
1.39606E+18,7.76753E+17,Directed
1.488E+18,1.42776E+18,Directed
1.488E+18,1.42776E+18,Directed
1.35112E+18,8.59821E+17,Directed
1.35112E+18,8.59821E+17,Directed
8.50712E+17,869090414,Directed
8.50712E+17,1.36905E+18,Directed
8.50712E+17,715591506,Directed
8.50712E+17,1.07261E+18,Directed
8.50712E+17,82353723,Directed
8.50712E+17,1.5176E+18,Directed
8.50712E+17,869090414,Directed
1.42262E+18,1576009134,Directed
1.42262E+18,1576009134,Directed
1.38225E+18,1337424932,Directed
1.38225E+18,1337424932,Directed
1.39606E+18,7.76753E+17,Directed
1.42262E+18,1576009134,Directed
1.38657E+18,4900331520,Directed
1.38657E+18,4900331520,Directed
4900331520,1.32432E+18,Directed
1.488E+18,1.42776E+18,Directed
1.14921E+18,7.76753E+17,Directed
8.56095E+17,1469811883,Directed
8.56095E+17,1469811883,Directed
1.25818E+18,1.45376E+18,Directed
1.25818E+18,1.45376E+18,Directed
8.50217E+17,1.57872E+18,Directed
8.50217E+17,1.57872E+18,Directed
1.35112E+18,20524359,Directed
1.35112E+18,7.79919E+17,Directed
1.35112E+18,8.59821E+17,Directed
9.83081E+17,1.36615E+18,Directed
9.83081E+17,1.36615E+18,Directed
1.25818E+18,1.45376E+18,Directed
8.56095E+17,1469811883,Directed
1.2506E+18,9.73912E+17,Directed
1.2506E+18,2253424765,Directed
1.2506E+18,9.73912E+17,Directed
2564336529,8.57994E+17,Directed
2564336529,8.57994E+17,Directed
8.57994E+17,1.27187E+18,Directed
3580903516,1.34611E+18,Directed
3580903516,869090414,Directed
1.25818E+18,1469811883,Directed
1.25818E+18,1.5619E+18,Directed
1.25818E+18,1469811883,Directed
1.25818E+18,1469811883,Directed
1.49851E+18,7.47525E+17,Directed
1.49851E+18,7.47525E+17,Directed
8.50712E+17,1.33128E+18,Directed
8.50712E+17,2378859834,Directed
8.50712E+17,1.33128E+18,Directed
1.33128E+18,2378859834,Directed
1.26354E+18,7.76753E+17,Directed
1.26354E+18,1.5619E+18,Directed
1.26354E+18,7.76753E+17,Directed
1.3638E+18,7.76753E+17,Directed
1.3638E+18,1.5619E+18,Directed
1.3638E+18,7.76753E+17,Directed
1.26354E+18,7.76753E+17,Directed
1.40681E+18,7.48218E+17,Directed
1.40681E+18,1496904794,Directed
1.40681E+18,7.48218E+17,Directed
1.42262E+18,7.76753E+17,Directed
1.42262E+18,2783798916,Directed
1.42262E+18,7.76753E+17,Directed
1.31427E+18,9.73912E+17,Directed
1.31427E+18,9.73912E+17,Directed
1.40681E+18,3667136669,Directed
1.40681E+18,7.48218E+17,Directed
279909798,7.76753E+17,Directed
279909798,1.5619E+18,Directed
279909798,7.76753E+17,Directed
1.54686E+18,3331414936,Directed
1.54686E+18,7.0184E+17,Directed
1.54686E+18,3331414936,Directed
1.488E+18,1.36029E+18,Directed
1.488E+18,1.36029E+18,Directed
1.25818E+18,8.31624E+17,Directed
1.25818E+18,8.31624E+17,Directed
8.31624E+17,1.5619E+18,Directed
1.49851E+18,7.47525E+17,Directed
8.17077E+17,7.48218E+17,Directed
8.17077E+17,1496904794,Directed
8.17077E+17,7.48218E+17,Directed
1.31427E+18,3179174320,Directed
1.31427E+18,9.73912E+17,Directed
8.56095E+17,8.31624E+17,Directed
8.56095E+17,8.31624E+17,Directed
1.25818E+18,8.31624E+17,Directed
56364337,869090414,Directed
56364337,1.36905E+18,Directed
56364337,869090414,Directed
1.48671E+18,7.76753E+17,Directed
1.48671E+18,1.5619E+18,Directed
1.48671E+18,7.76753E+17,Directed
1.56036E+18,9.73912E+17,Directed
1.56036E+18,9.73912E+17,Directed
8.56095E+17,8.31624E+17,Directed
1.48844E+18,7.76753E+17,Directed
1.48844E+18,1.5619E+18,Directed
1.48844E+18,7.76753E+17,Directed
8.17077E+17,7.67851E+17,Directed
8.17077E+17,7.48218E+17,Directed
8.50712E+17,1.33128E+18,Directed
1.38225E+18,8.59821E+17,Directed
1.38225E+18,8.59821E+17,Directed
1.48671E+18,7.76753E+17,Directed
1.36788E+18,1469811883,Directed
1.36788E+18,1.5619E+18,Directed
1.36788E+18,1469811883,Directed
1.56036E+18,1.56091E+18,Directed
1.56036E+18,9.73912E+17,Directed
1.488E+18,1.36029E+18,Directed
279909798,7.76753E+17,Directed
1.40681E+18,8.59821E+17,Directed
1.40681E+18,8.59821E+17,Directed
56364337,1.23251E+18,Directed
56364337,1.35806E+18,Directed
56364337,7.55202E+17,Directed
56364337,869090414,Directed
1.488E+18,1.36692E+18,Directed
1.488E+18,1.36692E+18,Directed
1.33462E+18,7.48218E+17,Directed
1.33462E+18,1496904794,Directed
1.33462E+18,7.48218E+17,Directed
1.40681E+18,8.31624E+17,Directed
1.40681E+18,1469811883,Directed
1.40681E+18,8.31624E+17,Directed
8.31624E+17,1469811883,Directed
1.38225E+18,1.30543E+18,Directed
1.38225E+18,1.53088E+18,Directed
1.38225E+18,8.59821E+17,Directed
1.33462E+18,1.37579E+18,Directed
1.33462E+18,7.48218E+17,Directed
1.40681E+18,1.27686E+18,Directed
1.40681E+18,1.58313E+18,Directed
1.40681E+18,1.27686E+18,Directed
1.39606E+18,869090414,Directed
1.39606E+18,1.36905E+18,Directed
1.39606E+18,869090414,Directed
1.488E+18,1.36692E+18,Directed
1.40681E+18,1469811883,Directed
1.59259E+18,7.76753E+17,Directed
1.59259E+18,7.76753E+17,Directed
1.52045E+18,1337424932,Directed
1.52045E+18,1337424932,Directed
1.45622E+18,182236262,Directed
2712074936,48419508,Directed
2712074936,1.27451E+18,Directed
2712074936,48419508,Directed
48419508,1.27451E+18,Directed
1.488E+18,1.27686E+18,Directed
1.488E+18,1.58313E+18,Directed
1.488E+18,1.27686E+18,Directed
1707272149,8.57994E+17,Directed
1707272149,1.27187E+18,Directed
1707272149,8.57994E+17,Directed
1.36788E+18,1469811883,Directed
1.39606E+18,869090414,Directed
7.118E+17,8.31624E+17,Directed
7.118E+17,1469811883,Directed
7.118E+17,8.31624E+17,Directed
2712074936,48419508,Directed
1.488E+18,1.50047E+18,Directed
1.488E+18,1.27686E+18,Directed
8.17077E+17,8.31624E+17,Directed
8.17077E+17,1.5619E+18,Directed
8.17077E+17,8.31624E+17,Directed
7.118E+17,8.31624E+17,Directed
1.59828E+18,7.76753E+17,Directed
1.59828E+18,1.5619E+18,Directed
1.59828E+18,7.76753E+17,Directed
8.17077E+17,8.31624E+17,Directed
1.59259E+18,7.76753E+17,Directed
1.1871E+18,8.36141E+17,Directed
1.1871E+18,1.16369E+18,Directed
1.1871E+18,369514399,Directed
1.1871E+18,9.61196E+17,Directed
1.1871E+18,1.03294E+18,Directed
1.1871E+18,2512904808,Directed
1.1871E+18,1.44829E+18,Directed
1.1871E+18,2846749745,Directed
1.1871E+18,47758096,Directed
1.1871E+18,8.36141E+17,Directed
8.36141E+17,1.16369E+18,Directed
2901050208,7.76753E+17,Directed
2901050208,2783798916,Directed
2901050208,7.76753E+17,Directed
3027913737,1.57115E+18,Directed
3027913737,9.98918E+17,Directed
3027913737,1.57115E+18,Directed
1.42168E+18,7.48218E+17,Directed
1.42168E+18,1496904794,Directed
1.42168E+18,7.48218E+17,Directed
1.48525E+18,7.48218E+17,Directed
1.48525E+18,1496904794,Directed
1.48525E+18,7.48218E+17,Directed
3027913737,2496091344,Directed
3027913737,1.57115E+18,Directed
1.38225E+18,1469811883,Directed
1.38225E+18,1.5619E+18,Directed
1.38225E+18,1469811883,Directed
1.48525E+18,604940857,Directed
1.48525E+18,7.48218E+17,Directed
1.59259E+18,1.09052E+18,Directed
1.59259E+18,1.39242E+18,Directed
1.59259E+18,1.09052E+18,Directed
1.09052E+18,1.39242E+18,Directed
1.48234E+18,7.76753E+17,Directed
1.48234E+18,1.5619E+18,Directed
1.48234E+18,7.76753E+17,Directed
1.38225E+18,1469811883,Directed
9.50835E+17,8.57994E+17,Directed
9.50835E+17,8.57994E+17,Directed
1.51456E+18,1.27187E+18,Directed
1.51456E+18,1.27187E+18,Directed
1.42168E+18,9.24549E+17,Directed
1.42168E+18,7.48218E+17,Directed
1.48234E+18,7.76753E+17,Directed
1.38225E+18,1.27187E+18,Directed
1.38225E+18,1.27187E+18,Directed
1.52045E+18,1337424932,Directed
1.52045E+18,1337424932,Directed
1.53935E+18,7.48284E+17,Directed
1.53935E+18,55386535,Directed
1.59259E+18,1.09052E+18,Directed
1.40681E+18,1.41018E+18,Directed
1.40681E+18,1.41018E+18,Directed
1.51456E+18,1.27187E+18,Directed
1.38225E+18,1.27187E+18,Directed
1.48234E+18,1.36692E+18,Directed
1.48234E+18,1.36692E+18,Directed
1.40681E+18,1.42776E+18,Directed
1.40681E+18,1.42776E+18,Directed
3021991944,1.27722E+18,Directed
3021991944,1.27722E+18,Directed
1.33298E+18,7.76753E+17,Directed
1.33298E+18,1.5619E+18,Directed
1.33298E+18,7.76753E+17,Directed
1.40681E+18,1.36029E+18,Directed
1.40681E+18,1.36029E+18,Directed
1.40681E+18,1.5619E+18,Directed
1.21578E+18,7.48218E+17,Directed
1.21578E+18,1496904794,Directed
1.21578E+18,7.48218E+17,Directed
59706716,8.31624E+17,Directed
59706716,8.31624E+17,Directed
1.40681E+18,7.76753E+17,Directed
1.40681E+18,7.76753E+17,Directed
1.41239E+18,9.73912E+17,Directed
1.41239E+18,9.73912E+17,Directed
2995846434,1.57115E+18,Directed
2995846434,9.98918E+17,Directed
2995846434,1.57115E+18,Directed
399792210,1576009134,Directed
399792210,1576009134,Directed
8.18242E+17,869090414,Directed
8.18242E+17,1.36905E+18,Directed
8.18242E+17,869090414,Directed
1.48234E+18,1.36692E+18,Directed
1.54795E+18,9.73912E+17,Directed
1.54795E+18,9.73912E+17,Directed
2995846434,3044559209,Directed
2995846434,1.57115E+18,Directed
59706716,8.31624E+17,Directed
399792210,1576009134,Directed
1.54795E+18,1.5464E+18,Directed
1.54795E+18,9.73912E+17,Directed
1.488E+18,1469811883,Directed
1.488E+18,1.5619E+18,Directed
1.488E+18,1469811883,Directed
1.48234E+18,1.27722E+18,Directed
1.48234E+18,1.27722E+18,Directed
1.21578E+18,259971881,Directed
1.21578E+18,7.48218E+17,Directed
1.40681E+18,1.45376E+18,Directed
1.40681E+18,1.45376E+18,Directed
1.58755E+18,7.48218E+17,Directed
1.58755E+18,1496904794,Directed
1.58755E+18,7.48218E+17,Directed
8.18242E+17,1.19157E+18,Directed
8.18242E+17,541023603,Directed
8.18242E+17,1.28245E+18,Directed
8.18242E+17,1.2684E+18,Directed
8.18242E+17,3523610895,Directed
8.18242E+17,1.52147E+18,Directed
8.18242E+17,7.42529E+17,Directed
8.18242E+17,8.96343E+17,Directed
8.18242E+17,7.78699E+17,Directed
8.18242E+17,7.92058E+17,Directed
8.18242E+17,1.36019E+18,Directed
8.18242E+17,2853986393,Directed
8.18242E+17,1.32435E+18,Directed
8.18242E+17,56364337,Directed
8.18242E+17,1.25314E+18,Directed
8.18242E+17,1.57697E+18,Directed
8.18242E+17,1.24402E+18,Directed
8.18242E+17,715591506,Directed
8.18242E+17,869090414,Directed
1.40681E+18,1.45592E+18,Directed
1.40681E+18,1.45592E+18,Directed
1.14921E+18,8.31624E+17,Directed
1.14921E+18,1.58787E+18,Directed
1.14921E+18,8.31624E+17,Directed
1.58755E+18,1.5302E+18,Directed
1.58755E+18,7.48218E+17,Directed
1.488E+18,1469811883,Directed
1.51401E+18,9.73912E+17,Directed
1.51401E+18,9.73912E+17,Directed
1.33298E+18,7.76753E+17,Directed
1.40681E+18,1.36692E+18,Directed
1.40681E+18,1.36692E+18,Directed
9.87015E+17,7.48218E+17,Directed
9.87015E+17,1496904794,Directed
